ID da Compra,ID do Cliente,ID do Produto,Data da Compra,Valor da Compra
1,Cliente-185,Produto-74,2023-7-14,59.76
2,Cliente-329,Produto-92,2023-3-15,379.3
3,Cliente-300,Produto-68,2023-10-21,94.24
4,Cliente-182,Produto-18,2023-6-13,254.73
5,Cliente-409,Produto-76,2023-5-3,466.75
6,Cliente-91,Produto-98,2023-1-15,317.29
7,Cliente-351,Produto-90,2023-6-24,478.78
8,Cliente-408,Produto-15,2023-7-26,433.3
9,Cliente-96,Produto-35,2023-11-13,52.86
10,Cliente-195,Produto-96,2023-1-14,366.7
11,Cliente-274,Produto-59,2023-9-4,240.68
12,Cliente-396,Produto-20,2023-2-26,204.27
13,Cliente-497,Produto-86,2023-5-7,89.09
14,Cliente-213,Produto-78,2023-3-5,367.77
15,Cliente-392,Produto-51,2023-1-19,384.41
16,Cliente-285,Produto-13,2023-5-15,13.88
17,Cliente-26,Produto-94,2023-4-27,33.1
18,Cliente-197,Produto-51,2023-8-11,331.48
19,Cliente-219,Produto-16,2023-8-23,301.72
20,Cliente-498,Produto-32,2023-2-25,354.46
21,Cliente-387,Produto-44,2023-9-16,197.55
22,Cliente-264,Produto-10,2023-8-10,300.33
23,Cliente-343,Produto-14,2023-4-5,425.86
24,Cliente-366,Produto-4,2023-7-16,316.49
25,Cliente-266,Produto-64,2023-10-9,353.92
26,Cliente-342,Produto-37,2023-9-28,177.14
27,Cliente-151,Produto-9,2023-3-25,73.31
28,Cliente-55,Produto-69,2023-1-26,134.95
29,Cliente-49,Produto-50,2023-6-15,395.69
30,Cliente-369,Produto-19,2023-11-5,325.44
31,Cliente-320,Produto-6,2023-5-11,254.56
32,Cliente-442,Produto-98,2023-2-16,386.08
33,Cliente-10,Produto-84,2023-8-9,47.27
34,Cliente-319,Produto-28,2023-7-6,138.97
35,Cliente-363,Produto-10,2023-5-24,459.99
36,Cliente-363,Produto-44,2023-7-1,140.28
37,Cliente-186,Produto-32,2023-12-26,352.92
38,Cliente-322,Produto-6,2023-9-7,285.39
39,Cliente-456,Produto-61,2023-7-9,116.77
40,Cliente-370,Produto-33,2023-8-3,61.61
41,Cliente-29,Produto-28,2023-5-11,17.39
42,Cliente-214,Produto-4,2023-12-15,285.35
43,Cliente-75,Produto-69,2023-8-4,397.62
44,Cliente-452,Produto-29,2023-7-6,263.82
45,Cliente-446,Produto-68,2023-5-28,379.04
46,Cliente-136,Produto-77,2023-7-12,102.25
47,Cliente-271,Produto-75,2023-8-3,477.98
48,Cliente-236,Produto-82,2023-8-7,79.92
49,Cliente-274,Produto-100,2023-11-3,491.48
50,Cliente-76,Produto-40,2023-5-14,267.51
51,Cliente-280,Produto-99,2023-7-12,250.23
52,Cliente-256,Produto-82,2023-1-3,115.4
53,Cliente-205,Produto-59,2023-2-11,119.76
54,Cliente-217,Produto-29,2023-3-2,413.97
55,Cliente-267,Produto-4,2023-12-8,371.39
56,Cliente-199,Produto-56,2023-2-23,126.87
57,Cliente-139,Produto-64,2023-12-17,449.42
58,Cliente-271,Produto-94,2023-8-16,393.8
59,Cliente-56,Produto-51,2023-3-10,114.38
60,Cliente-309,Produto-24,2023-8-25,92.12
61,Cliente-100,Produto-47,2023-5-8,270.52
62,Cliente-256,Produto-9,2023-10-1,94.94
63,Cliente-239,Produto-41,2023-3-4,270.02
64,Cliente-78,Produto-96,2023-2-27,413.56
65,Cliente-129,Produto-38,2023-7-22,117.95
66,Cliente-283,Produto-76,2023-11-17,334.27
67,Cliente-242,Produto-79,2023-3-1,262.98
68,Cliente-1,Produto-70,2023-4-21,21.95
69,Cliente-342,Produto-78,2023-9-16,215.2
70,Cliente-409,Produto-50,2023-6-10,191.06
71,Cliente-144,Produto-27,2023-1-1,37.14
72,Cliente-36,Produto-38,2023-7-9,359.69
73,Cliente-175,Produto-83,2023-11-9,307.26
74,Cliente-9,Produto-60,2023-1-19,444.54
75,Cliente-190,Produto-60,2023-7-24,208.59
76,Cliente-164,Produto-97,2023-10-9,155.98
77,Cliente-10,Produto-52,2023-12-28,236.87
78,Cliente-276,Produto-23,2023-12-9,217.74
79,Cliente-134,Produto-94,2023-6-19,216.73
80,Cliente-491,Produto-21,2023-2-28,346.41
81,Cliente-471,Produto-82,2023-8-5,189.23
82,Cliente-494,Produto-77,2023-10-17,164.55
83,Cliente-87,Produto-6,2023-7-21,362.45
84,Cliente-328,Produto-20,2023-8-23,481.61
85,Cliente-348,Produto-43,2023-11-25,190.59
86,Cliente-421,Produto-70,2023-5-23,383.35
87,Cliente-450,Produto-52,2023-8-20,188.18
88,Cliente-285,Produto-63,2023-1-23,294.85
89,Cliente-251,Produto-27,2023-5-17,389.72
90,Cliente-451,Produto-49,2023-8-13,403.55
91,Cliente-10,Produto-82,2023-6-28,417.96
92,Cliente-350,Produto-23,2023-5-11,461.02
93,Cliente-406,Produto-20,2023-5-11,366.73
94,Cliente-238,Produto-55,2023-2-3,463.96
95,Cliente-178,Produto-16,2023-1-4,434.07
96,Cliente-9,Produto-81,2023-1-6,224.26
97,Cliente-227,Produto-83,2023-7-26,168.28
98,Cliente-202,Produto-31,2023-8-15,309.01
99,Cliente-318,Produto-44,2023-3-23,440.41
100,Cliente-448,Produto-27,2023-8-5,429.26
101,Cliente-23,Produto-27,2023-10-20,297.14
102,Cliente-183,Produto-16,2023-4-28,299.95
103,Cliente-282,Produto-6,2023-10-14,433.73
104,Cliente-174,Produto-93,2023-4-24,429.19
105,Cliente-1,Produto-24,2023-6-24,125.88
106,Cliente-266,Produto-37,2023-7-24,264.35
107,Cliente-340,Produto-6,2023-3-14,380.55
108,Cliente-396,Produto-14,2023-1-27,379.12
109,Cliente-74,Produto-11,2023-6-11,239.52
110,Cliente-56,Produto-33,2023-5-28,255.18
111,Cliente-28,Produto-72,2023-7-1,418.05
112,Cliente-95,Produto-56,2023-5-9,38.26
113,Cliente-402,Produto-60,2023-9-3,295.39
114,Cliente-426,Produto-43,2023-9-28,263.4
115,Cliente-29,Produto-40,2023-5-5,251.26
116,Cliente-37,Produto-18,2023-8-22,82.6
117,Cliente-85,Produto-27,2023-8-24,98.24
118,Cliente-208,Produto-48,2023-3-13,180.3
119,Cliente-13,Produto-13,2023-12-24,431.89
120,Cliente-44,Produto-40,2023-11-4,432.61
121,Cliente-161,Produto-16,2023-5-28,291.58
122,Cliente-278,Produto-37,2023-9-11,388.44
123,Cliente-307,Produto-97,2023-4-9,20.57
124,Cliente-317,Produto-33,2023-9-9,329.83
125,Cliente-378,Produto-74,2023-10-22,475.46
126,Cliente-408,Produto-19,2023-1-7,88.01
127,Cliente-434,Produto-50,2023-9-17,195.92
128,Cliente-451,Produto-67,2023-9-5,306.4
129,Cliente-354,Produto-53,2023-1-4,365.96
130,Cliente-50,Produto-83,2023-8-15,360.1
131,Cliente-12,Produto-21,2023-4-2,225.58
132,Cliente-5,Produto-38,2023-10-14,138.15
133,Cliente-93,Produto-30,2023-9-14,390.84
134,Cliente-93,Produto-67,2023-9-13,105.68
135,Cliente-490,Produto-94,2023-6-5,432.45
136,Cliente-274,Produto-19,2023-4-20,306.1
137,Cliente-277,Produto-40,2023-11-26,182.1
138,Cliente-347,Produto-53,2023-8-5,105.7
139,Cliente-201,Produto-65,2023-11-23,421.03
140,Cliente-320,Produto-8,2023-10-11,421.83
141,Cliente-99,Produto-52,2023-5-13,239.79
142,Cliente-225,Produto-5,2023-8-26,191.33
143,Cliente-409,Produto-51,2023-11-28,290.43
144,Cliente-156,Produto-4,2023-3-20,480.36
145,Cliente-470,Produto-93,2023-2-24,150.45
146,Cliente-131,Produto-98,2023-5-25,159.75
147,Cliente-5,Produto-6,2023-8-25,265.43
148,Cliente-396,Produto-96,2023-4-5,183.06
149,Cliente-500,Produto-64,2023-7-27,430.33
150,Cliente-216,Produto-22,2023-3-4,177.0
151,Cliente-284,Produto-11,2023-6-2,87.46
152,Cliente-102,Produto-37,2023-9-11,271.63
153,Cliente-437,Produto-9,2023-3-13,135.12
154,Cliente-341,Produto-18,2023-1-28,456.63
155,Cliente-79,Produto-100,2023-6-9,14.17
156,Cliente-165,Produto-16,2023-5-28,205.2
157,Cliente-486,Produto-52,2023-10-5,355.82
158,Cliente-166,Produto-6,2023-2-26,60.01
159,Cliente-41,Produto-2,2023-9-20,100.28
160,Cliente-407,Produto-37,2023-9-17,348.28
161,Cliente-207,Produto-59,2023-8-19,111.65
162,Cliente-231,Produto-49,2023-12-12,438.93
163,Cliente-43,Produto-27,2023-2-12,408.01
164,Cliente-117,Produto-58,2023-6-14,16.45
165,Cliente-178,Produto-83,2023-4-28,359.13
166,Cliente-426,Produto-52,2023-6-1,290.68
167,Cliente-303,Produto-86,2023-1-10,227.44
168,Cliente-461,Produto-14,2023-11-24,470.45
169,Cliente-364,Produto-31,2023-11-3,460.72
170,Cliente-265,Produto-41,2023-9-4,192.13
171,Cliente-121,Produto-27,2023-9-28,229.89
172,Cliente-43,Produto-81,2023-3-22,42.29
173,Cliente-80,Produto-88,2023-2-19,334.05
174,Cliente-467,Produto-15,2023-7-6,390.15
175,Cliente-22,Produto-27,2023-12-16,218.7
176,Cliente-43,Produto-4,2023-1-24,375.0
177,Cliente-159,Produto-29,2023-11-9,367.84
178,Cliente-455,Produto-12,2023-9-11,51.01
179,Cliente-289,Produto-58,2023-10-4,105.92
180,Cliente-65,Produto-56,2023-10-23,116.39
181,Cliente-208,Produto-44,2023-8-2,435.43
182,Cliente-298,Produto-65,2023-11-3,435.44
183,Cliente-14,Produto-60,2023-2-22,397.18
184,Cliente-498,Produto-91,2023-4-10,188.42
185,Cliente-246,Produto-49,2023-5-13,372.17
186,Cliente-315,Produto-31,2023-7-22,36.94
187,Cliente-205,Produto-22,2023-1-2,380.1
188,Cliente-371,Produto-91,2023-1-19,344.52
189,Cliente-121,Produto-32,2023-8-6,126.95
190,Cliente-284,Produto-3,2023-6-5,93.26
191,Cliente-313,Produto-74,2023-7-18,485.74
192,Cliente-410,Produto-28,2023-12-14,268.99
193,Cliente-148,Produto-43,2023-12-19,35.7
194,Cliente-431,Produto-62,2023-8-16,112.07
195,Cliente-357,Produto-50,2023-12-16,175.55
196,Cliente-397,Produto-52,2023-7-18,465.86
197,Cliente-308,Produto-43,2023-4-15,348.57
198,Cliente-128,Produto-71,2023-8-22,386.03
199,Cliente-500,Produto-20,2023-6-12,75.24
200,Cliente-148,Produto-56,2023-10-20,284.47
201,Cliente-411,Produto-11,2023-6-10,101.28
202,Cliente-401,Produto-39,2023-6-4,306.44
203,Cliente-118,Produto-10,2023-8-19,129.22
204,Cliente-408,Produto-12,2023-10-4,460.66
205,Cliente-448,Produto-6,2023-12-15,410.49
206,Cliente-323,Produto-67,2023-5-26,442.82
207,Cliente-288,Produto-12,2023-8-20,390.78
208,Cliente-136,Produto-44,2023-9-28,343.71
209,Cliente-70,Produto-24,2023-10-7,161.06
210,Cliente-179,Produto-46,2023-7-24,102.7
211,Cliente-335,Produto-90,2023-11-18,307.14
212,Cliente-359,Produto-53,2023-4-26,148.4
213,Cliente-181,Produto-56,2023-6-4,320.26
214,Cliente-477,Produto-26,2023-11-27,55.87
215,Cliente-54,Produto-70,2023-7-21,235.62
216,Cliente-439,Produto-91,2023-3-27,432.08
217,Cliente-451,Produto-40,2023-5-21,315.51
218,Cliente-60,Produto-58,2023-4-22,146.21
219,Cliente-436,Produto-55,2023-1-3,189.01
220,Cliente-212,Produto-4,2023-4-24,243.81
221,Cliente-283,Produto-39,2023-7-19,188.51
222,Cliente-261,Produto-73,2023-6-22,135.63
223,Cliente-429,Produto-90,2023-1-26,325.14
224,Cliente-191,Produto-12,2023-9-2,450.06
225,Cliente-440,Produto-96,2023-9-20,299.02
226,Cliente-273,Produto-88,2023-3-16,264.66
227,Cliente-152,Produto-30,2023-3-16,20.88
228,Cliente-84,Produto-59,2023-4-3,346.43
229,Cliente-118,Produto-71,2023-2-15,391.61
230,Cliente-107,Produto-97,2023-10-11,57.14
231,Cliente-265,Produto-76,2023-6-28,77.23
232,Cliente-462,Produto-94,2023-5-15,26.13
233,Cliente-15,Produto-68,2023-5-14,148.77
234,Cliente-134,Produto-84,2023-2-13,31.58
235,Cliente-312,Produto-43,2023-7-24,23.98
236,Cliente-254,Produto-89,2023-5-8,120.32
237,Cliente-353,Produto-77,2023-2-12,102.09
238,Cliente-497,Produto-29,2023-4-3,480.58
239,Cliente-46,Produto-14,2023-10-22,395.28
240,Cliente-88,Produto-12,2023-10-19,141.97
241,Cliente-131,Produto-73,2023-2-14,107.11
242,Cliente-321,Produto-28,2023-4-2,270.93
243,Cliente-159,Produto-74,2023-4-13,226.54
244,Cliente-222,Produto-84,2023-11-24,22.74
245,Cliente-327,Produto-31,2023-8-11,494.83
246,Cliente-62,Produto-89,2023-11-2,43.14
247,Cliente-115,Produto-69,2023-8-16,429.11
248,Cliente-117,Produto-35,2023-10-6,446.29
249,Cliente-220,Produto-31,2023-7-14,123.29
250,Cliente-318,Produto-48,2023-10-13,441.06
251,Cliente-121,Produto-85,2023-9-12,387.06
252,Cliente-439,Produto-95,2023-7-21,444.85
253,Cliente-304,Produto-88,2023-6-16,80.91
254,Cliente-144,Produto-13,2023-2-26,212.95
255,Cliente-55,Produto-91,2023-1-24,47.86
256,Cliente-18,Produto-70,2023-6-7,208.38
257,Cliente-102,Produto-51,2023-10-28,346.32
258,Cliente-371,Produto-86,2023-1-22,99.4
259,Cliente-458,Produto-80,2023-3-8,232.03
260,Cliente-370,Produto-84,2023-2-5,266.55
261,Cliente-347,Produto-1,2023-2-17,338.57
262,Cliente-89,Produto-60,2023-1-15,10.48
263,Cliente-464,Produto-36,2023-3-17,481.12
264,Cliente-406,Produto-65,2023-7-14,280.34
265,Cliente-57,Produto-57,2023-1-27,221.95
266,Cliente-432,Produto-1,2023-10-23,465.68
267,Cliente-480,Produto-83,2023-11-12,289.38
