ID da Compra,ID do Cliente,ID do Produto,Data da Compra,Valor da Compra,Nome do Produto,Preço,Nome do Cliente,Idade,Gênero
1,Cliente-185,Produto-74,2023-7-14,59.76,Produto 74,607.32,Cliente 185,50,Masculino
1172,Cliente-185,Produto-59,2023-6-1,473.84,Produto 59,357.65,Cliente 185,50,Masculino
1268,Cliente-185,Produto-51,2023-10-14,352.91,Produto 51,380.17,Cliente 185,50,Masculino
3521,Cliente-185,Produto-6,2023-2-12,420.0,Produto 6,264.28,Cliente 185,50,Masculino
946,Cliente-185,Produto-100,2023-9-10,341.84,Produto 100,503.79,Cliente 185,50,Masculino
3001,Cliente-185,Produto-47,2023-10-24,213.04,Produto 47,89.63,Cliente 185,50,Masculino
1616,Cliente-185,Produto-27,2023-6-9,55.26,Produto 27,954.41,Cliente 185,50,Masculino
2401,Cliente-185,Produto-21,2023-11-2,104.36,Produto 21,751.82,Cliente 185,50,Masculino
4805,Cliente-185,Produto-81,2023-8-5,55.96,Produto 81,152.57,Cliente 185,50,Masculino
2325,Cliente-185,Produto-2,2023-12-7,290.01,Produto 2,114.86,Cliente 185,50,Masculino
4673,Cliente-185,Produto-7,2023-7-16,299.37,Produto 7,713.31,Cliente 185,50,Masculino
125,Cliente-378,Produto-74,2023-10-22,475.46,Produto 74,607.32,Cliente 378,62,Masculino
3498,Cliente-378,Produto-18,2023-9-18,236.51,Produto 18,827.96,Cliente 378,62,Masculino
4192,Cliente-378,Produto-51,2023-5-17,89.9,Produto 51,380.17,Cliente 378,62,Masculino
2855,Cliente-378,Produto-27,2023-2-15,315.12,Produto 27,954.41,Cliente 378,62,Masculino
3119,Cliente-378,Produto-83,2023-4-11,33.45,Produto 83,818.12,Cliente 378,62,Masculino
3735,Cliente-378,Produto-49,2023-5-6,379.98,Produto 49,88.98,Cliente 378,62,Masculino
481,Cliente-378,Produto-31,2023-9-20,329.16,Produto 31,100.02,Cliente 378,62,Masculino
3253,Cliente-378,Produto-53,2023-7-9,45.1,Produto 53,725.06,Cliente 378,62,Masculino
2773,Cliente-378,Produto-30,2023-8-5,393.71,Produto 30,619.37,Cliente 378,62,Masculino
191,Cliente-313,Produto-74,2023-7-18,485.74,Produto 74,607.32,Cliente 313,63,Masculino
4181,Cliente-313,Produto-64,2023-3-26,479.31,Produto 64,748.57,Cliente 313,63,Masculino
3018,Cliente-313,Produto-37,2023-11-7,285.9,Produto 37,76.98,Cliente 313,63,Masculino
2547,Cliente-313,Produto-83,2023-7-7,297.92,Produto 83,818.12,Cliente 313,63,Masculino
4051,Cliente-313,Produto-97,2023-11-28,158.97,Produto 97,677.4,Cliente 313,63,Masculino
4293,Cliente-313,Produto-63,2023-7-18,390.45,Produto 63,185.04,Cliente 313,63,Masculino
2987,Cliente-313,Produto-55,2023-12-15,409.34,Produto 55,778.17,Cliente 313,63,Masculino
1524,Cliente-313,Produto-62,2023-11-13,261.37,Produto 62,64.24,Cliente 313,63,Masculino
479,Cliente-313,Produto-1,2023-10-6,128.36,Produto 1,548.02,Cliente 313,63,Masculino
243,Cliente-159,Produto-74,2023-4-13,226.54,Produto 74,607.32,Cliente 159,62,Outro
2063,Cliente-159,Produto-35,2023-1-9,110.48,Produto 35,660.36,Cliente 159,62,Outro
980,Cliente-159,Produto-86,2023-1-24,467.67,Produto 86,555.07,Cliente 159,62,Outro
4701,Cliente-159,Produto-86,2023-2-23,145.93,Produto 86,555.07,Cliente 159,62,Outro
979,Cliente-159,Produto-50,2023-7-8,54.89,Produto 50,640.11,Cliente 159,62,Outro
807,Cliente-159,Produto-19,2023-2-21,376.58,Produto 19,794.97,Cliente 159,62,Outro
4184,Cliente-159,Produto-33,2023-12-24,418.5,Produto 33,328.13,Cliente 159,62,Outro
177,Cliente-159,Produto-29,2023-11-9,367.84,Produto 29,281.4,Cliente 159,62,Outro
4446,Cliente-159,Produto-40,2023-4-11,152.74,Produto 40,615.21,Cliente 159,62,Outro
1689,Cliente-159,Produto-43,2023-8-2,40.85,Produto 43,428.53,Cliente 159,62,Outro
2024,Cliente-159,Produto-66,2023-6-13,244.7,Produto 66,884.88,Cliente 159,62,Outro
3801,Cliente-159,Produto-25,2023-4-8,393.16,Produto 25,953.69,Cliente 159,62,Outro
305,Cliente-77,Produto-74,2023-5-1,80.38,Produto 74,607.32,Cliente 77,62,Outro
4460,Cliente-77,Produto-75,2023-5-13,290.68,Produto 75,48.23,Cliente 77,62,Outro
2899,Cliente-77,Produto-38,2023-5-4,278.34,Produto 38,784.24,Cliente 77,62,Outro
4947,Cliente-77,Produto-27,2023-5-14,397.35,Produto 27,954.41,Cliente 77,62,Outro
1977,Cliente-77,Produto-83,2023-3-1,200.26,Produto 83,818.12,Cliente 77,62,Outro
3788,Cliente-77,Produto-26,2023-5-2,137.6,Produto 26,83.29,Cliente 77,62,Outro
735,Cliente-173,Produto-74,2023-7-10,246.87,Produto 74,607.32,Cliente 173,43,Feminino
4377,Cliente-173,Produto-90,2023-10-20,65.47,Produto 90,46.99,Cliente 173,43,Feminino
2462,Cliente-173,Produto-27,2023-5-12,461.31,Produto 27,954.41,Cliente 173,43,Feminino
4856,Cliente-173,Produto-63,2023-7-13,440.76,Produto 63,185.04,Cliente 173,43,Feminino
4554,Cliente-173,Produto-5,2023-3-15,391.93,Produto 5,530.08,Cliente 173,43,Feminino
4010,Cliente-173,Produto-71,2023-12-28,428.35,Produto 71,815.52,Cliente 173,43,Feminino
440,Cliente-173,Produto-45,2023-4-5,187.71,Produto 45,709.22,Cliente 173,43,Feminino
748,Cliente-327,Produto-74,2023-2-25,77.28,Produto 74,607.32,Cliente 327,51,Feminino
539,Cliente-327,Produto-35,2023-2-12,254.24,Produto 35,660.36,Cliente 327,51,Feminino
4786,Cliente-327,Produto-35,2023-9-14,196.28,Produto 35,660.36,Cliente 327,51,Feminino
1214,Cliente-327,Produto-20,2023-12-18,356.93,Produto 20,399.29,Cliente 327,51,Feminino
4896,Cliente-327,Produto-13,2023-8-14,32.45,Produto 13,495.82,Cliente 327,51,Feminino
2397,Cliente-327,Produto-10,2023-2-16,399.72,Produto 10,884.52,Cliente 327,51,Feminino
3720,Cliente-327,Produto-14,2023-1-20,227.89,Produto 14,415.65,Cliente 327,51,Feminino
1074,Cliente-327,Produto-84,2023-2-24,357.1,Produto 84,401.08,Cliente 327,51,Feminino
2268,Cliente-327,Produto-28,2023-9-26,298.97,Produto 28,273.0,Cliente 327,51,Feminino
2742,Cliente-327,Produto-33,2023-4-28,470.03,Produto 33,328.13,Cliente 327,51,Feminino
2022,Cliente-327,Produto-27,2023-11-7,157.4,Produto 27,954.41,Cliente 327,51,Feminino
4736,Cliente-327,Produto-43,2023-6-23,449.02,Produto 43,428.53,Cliente 327,51,Feminino
245,Cliente-327,Produto-31,2023-8-11,494.83,Produto 31,100.02,Cliente 327,51,Feminino
3635,Cliente-327,Produto-80,2023-11-19,309.22,Produto 80,181.99,Cliente 327,51,Feminino
3669,Cliente-327,Produto-1,2023-5-6,474.86,Produto 1,548.02,Cliente 327,51,Feminino
844,Cliente-223,Produto-74,2023-9-23,69.85,Produto 74,607.32,Cliente 223,18,Masculino
3361,Cliente-223,Produto-18,2023-1-25,359.17,Produto 18,827.96,Cliente 223,18,Masculino
321,Cliente-223,Produto-35,2023-4-11,211.5,Produto 35,660.36,Cliente 223,18,Masculino
3373,Cliente-223,Produto-64,2023-4-26,190.44,Produto 64,748.57,Cliente 223,18,Masculino
543,Cliente-223,Produto-37,2023-6-18,373.19,Produto 37,76.98,Cliente 223,18,Masculino
2498,Cliente-223,Produto-40,2023-9-6,317.62,Produto 40,615.21,Cliente 223,18,Masculino
